IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.41.252.92,443,443,true,ORD,North America,Chicago,205,9.03
34.65.15.230,443,443,true,FRA,Europe,Frankfurt,176,9.02
35.226.211.129,443,443,true,ORD,North America,Chicago,232,9.02
34.123.83.237,443,443,true,ORD,North America,Chicago,224,9.02
35.202.158.120,443,443,true,ORD,North America,Chicago,208,9.02
34.72.146.82,443,443,true,ORD,North America,Chicago,206,9.02
34.123.83.237,443,443,true,ORD,North America,Chicago,205,9.01
34.66.72.229,443,443,true,ORD,North America,Chicago,209,9.01
34.66.72.229,443,443,true,ORD,North America,Chicago,206,9.01
34.32.221.84,443,443,true,FRA,Europe,Frankfurt,179,9.01
34.116.132.131,443,443,true,FRA,Europe,Frankfurt,246,9.00
34.66.72.229,443,443,true,ORD,North America,Chicago,204,9.00
34.107.124.148,443,443,true,FRA,Europe,Frankfurt,269,9.00
34.118.15.49,443,443,true,FRA,Europe,Frankfurt,208,9.00
34.72.146.82,443,443,true,ORD,North America,Chicago,208,9.00
34.147.118.93,443,443,true,FRA,Europe,Frankfurt,189,8.99
34.150.133.11,443,443,true,IAD,North America,Ashburn,244,8.99
34.65.49.65,443,443,true,FRA,Europe,Frankfurt,181,8.98
34.70.91.86,443,443,true,ORD,North America,Chicago,208,8.96
34.65.209.233,443,443,true,FRA,Europe,Frankfurt,176,8.94
34.65.151.33,443,443,true,FRA,Europe,Frankfurt,198,8.93
34.116.143.158,443,443,true,FRA,Europe,Frankfurt,222,8.92
34.118.4.227,443,443,true,FRA,Europe,Frankfurt,198,8.92
34.118.87.47,443,443,true,FRA,Europe,Frankfurt,280,8.91
34.141.162.183,443,443,true,FRA,Europe,Frankfurt,163,8.90
34.130.195.13,443,443,true,YYZ,North America,Toronto,211,8.89
34.118.94.159,443,443,true,FRA,Europe,Frankfurt,244,8.89
34.48.111.143,443,443,true,IAD,North America,Ashburn,212,8.89
34.90.132.107,443,443,true,FRA,Europe,Frankfurt,192,8.88
34.116.217.39,443,443,true,FRA,Europe,Frankfurt,335,8.88
34.90.66.225,443,443,true,FRA,Europe,Frankfurt,207,8.87
34.150.133.11,443,443,true,IAD,North America,Ashburn,212,8.87
34.67.45.105,443,443,true,ORD,North America,Chicago,209,8.87
34.150.233.190,443,443,true,IAD,North America,Ashburn,260,8.86
34.90.66.225,443,443,true,FRA,Europe,Frankfurt,190,8.85
34.147.118.93,443,443,true,FRA,Europe,Frankfurt,269,8.84
34.65.116.141,443,443,true,FRA,Europe,Frankfurt,176,8.82
34.154.45.210,443,443,true,FRA,Europe,Frankfurt,214,8.81
34.65.72.89,443,443,true,FRA,Europe,Frankfurt,191,8.81
34.90.27.19,443,443,true,FRA,Europe,Frankfurt,180,8.81
34.90.88.125,443,443,true,FRA,Europe,Frankfurt,189,8.80
34.107.110.99,443,443,true,FRA,Europe,Frankfurt,236,8.80
34.118.96.126,443,443,true,FRA,Europe,Frankfurt,250,8.79
35.202.158.120,443,443,true,ORD,North America,Chicago,209,8.78
35.246.171.228,443,443,true,FRA,Europe,Frankfurt,170,8.78
34.69.150.180,443,443,true,ORD,North America,Chicago,207,8.77
34.116.191.120,443,443,true,FRA,Europe,Frankfurt,315,8.76
34.69.150.180,443,443,true,ORD,North America,Chicago,208,8.75
34.70.91.86,443,443,true,ORD,North America,Chicago,208,8.73
34.65.204.88,443,443,true,FRA,Europe,Frankfurt,173,8.72
34.86.193.161,443,443,true,IAD,North America,Ashburn,213,8.72
34.65.49.65,443,443,true,FRA,Europe,Frankfurt,192,8.72
34.90.182.145,443,443,true,FRA,Europe,Frankfurt,189,8.72
34.91.23.215,443,443,true,FRA,Europe,Frankfurt,178,8.71
34.116.176.165,443,443,true,FRA,Europe,Frankfurt,214,8.71
34.141.202.86,443,443,true,FRA,Europe,Frankfurt,177,8.71
34.116.198.179,443,443,true,FRA,Europe,Frankfurt,231,8.71
34.67.45.105,443,443,true,ORD,North America,Chicago,206,8.70
34.69.150.180,443,443,true,ORD,North America,Chicago,208,8.70
34.65.15.102,443,443,true,FRA,Europe,Frankfurt,179,8.70
34.70.91.86,443,443,true,ORD,North America,Chicago,208,8.67
34.118.68.230,443,443,true,FRA,Europe,Frankfurt,248,8.66
34.65.44.204,443,443,true,FRA,Europe,Frankfurt,183,8.66
34.90.84.203,443,443,true,FRA,Europe,Frankfurt,177,8.65
34.118.21.191,443,443,true,FRA,Europe,Frankfurt,243,8.65
34.116.176.165,443,443,true,FRA,Europe,Frankfurt,205,8.65
34.32.217.226,443,443,true,FRA,Europe,Frankfurt,180,8.64
34.118.92.254,443,443,true,FRA,Europe,Frankfurt,173,8.63
35.204.111.58,443,443,true,FRA,Europe,Frankfurt,182,8.63
34.65.73.56,443,443,true,FRA,Europe,Frankfurt,212,8.61
34.118.109.7,443,443,true,FRA,Europe,Frankfurt,235,8.59
34.145.145.76,443,443,true,IAD,North America,Ashburn,287,8.57
34.69.150.180,443,443,true,ORD,North America,Chicago,217,8.57
34.118.66.153,443,443,true,FRA,Europe,Frankfurt,209,8.57
34.67.45.105,443,443,true,ORD,North America,Chicago,208,8.57
34.154.149.112,443,443,true,FRA,Europe,Frankfurt,169,8.56
34.145.184.167,443,443,true,IAD,North America,Ashburn,212,8.55
35.242.209.37,443,443,true,FRA,Europe,Frankfurt,194,8.54
34.118.77.217,443,443,true,FRA,Europe,Frankfurt,218,8.52
34.91.244.151,443,443,true,FRA,Europe,Frankfurt,182,8.50
34.141.156.8,443,443,true,FRA,Europe,Frankfurt,195,8.50
34.116.196.84,443,443,true,FRA,Europe,Frankfurt,248,8.49
34.90.121.25,443,443,true,FRA,Europe,Frankfurt,176,8.49
34.29.228.169,443,443,true,ORD,North America,Chicago,211,8.48
34.29.228.169,443,443,true,ORD,North America,Chicago,205,8.48
34.89.197.51,443,443,true,FRA,Europe,Frankfurt,171,8.44
34.118.3.49,443,443,true,FRA,Europe,Frankfurt,213,8.44
34.48.100.4,443,443,true,IAD,North America,Ashburn,212,8.44
34.86.193.161,443,443,true,IAD,North America,Ashburn,224,8.40
34.48.137.34,443,443,true,IAD,North America,Ashburn,291,8.39
35.186.170.241,443,443,true,IAD,North America,Ashburn,213,8.37
34.86.193.161,443,443,true,IAD,North America,Ashburn,214,8.37
34.118.5.126,443,443,true,FRA,Europe,Frankfurt,208,8.35
34.150.180.124,443,443,true,IAD,North America,Ashburn,218,8.30
34.118.122.123,443,443,true,FRA,Europe,Frankfurt,200,8.30
34.118.125.170,443,443,true,FRA,Europe,Frankfurt,235,8.30
34.116.196.84,443,443,true,FRA,Europe,Frankfurt,187,8.30
34.34.5.22,443,443,true,FRA,Europe,Frankfurt,190,8.29
34.148.187.247,443,443,true,ATL,North America,Atlanta,222,8.29
34.118.96.199,443,443,true,FRA,Europe,Frankfurt,237,8.28
