IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.178.231.166,8443,80,false,ORD,North America,Chicago,165,0.00
35.93.190.39,8880,80,false,ORD,North America,Chicago,205,0.00
54.218.212.54,2052,80,false,ORD,North America,Chicago,205,0.00
54.218.212.54,2082,80,false,ORD,North America,Chicago,208,0.00
35.92.241.74,443,80,false,ORD,North America,Chicago,208,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.229.117.78,2082,80,false,CGK,Asia Pacific,Jakarta,1,0.00
13.213.206.28,443,443,true,SIN,Asia Pacific,Singapore,24,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,63,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,70,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,70,0.00
15.165.63.136,2095,80,false,ICN,Asia Pacific,Seoul,71,0.00
15.165.63.136,2053,80,false,ICN,Asia Pacific,Seoul,72,0.00
15.165.63.136,2052,80,false,ICN,Asia Pacific,Seoul,74,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,74,0.00
13.124.81.29,443,443,true,ICN,Asia Pacific,Seoul,76,0.00
18.141.185.144,443,443,true,SIN,Asia Pacific,Singapore,77,0.00
3.105.12.136,2082,80,false,SYD,Oceania,Sydney,92,0.00
3.105.12.136,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.237.223.44,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2083,80,false,SYD,Oceania,Sydney,93,0.00
3.105.12.136,2083,80,false,SYD,Oceania,Sydney,93,0.00
3.105.12.136,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2052,80,false,SYD,Oceania,Sydney,93,0.00
3.105.12.136,2095,80,false,SYD,Oceania,Sydney,93,0.00
3.105.65.61,2052,80,false,SYD,Oceania,Sydney,93,0.00
3.105.65.61,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2082,80,false,SYD,Oceania,Sydney,93,0.00
3.105.12.136,2052,80,false,SYD,Oceania,Sydney,94,0.00
3.105.24.122,2053,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2053,80,false,SYD,Oceania,Sydney,94,0.00
3.105.24.122,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2086,80,false,SYD,Oceania,Sydney,94,0.00
3.105.12.136,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.54.198.183,443,443,true,SYD,Oceania,Sydney,95,0.00
3.105.65.61,2086,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2087,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,96,0.00
18.183.158.211,443,443,true,NRT,Asia Pacific,Tokyo,96,0.00
3.105.36.23,2082,80,false,SYD,Oceania,Sydney,96,0.00
13.211.0.227,2053,80,false,SYD,Oceania,Sydney,97,0.00
3.105.12.136,2086,80,false,SYD,Oceania,Sydney,98,0.00
3.105.24.122,2086,80,false,SYD,Oceania,Sydney,99,0.00
96.0.147.6,80,80,false,SIN,Asia Pacific,Singapore,109,0.00
96.0.148.73,80,80,false,SIN,Asia Pacific,Singapore,109,0.00
96.0.147.114,80,80,false,SIN,Asia Pacific,Singapore,110,0.00
96.0.147.114,443,80,false,SIN,Asia Pacific,Singapore,113,0.00
13.36.162.145,2083,80,false,CDG,Europe,Paris,160,0.00
13.36.253.240,2096,80,false,CDG,Europe,Paris,160,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,160,0.00
13.36.63.124,2086,80,false,CDG,Europe,Paris,160,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,160,0.00
13.37.32.97,8443,443,true,CDG,Europe,Paris,160,0.00
13.36.230.17,8443,443,true,CDG,Europe,Paris,161,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,161,0.00
13.36.162.145,2095,80,false,CDG,Europe,Paris,161,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,161,0.00
13.38.100.139,8443,443,true,CDG,Europe,Paris,161,0.00
13.40.57.10,443,443,true,LHR,Europe,London,161,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,161,0.00
13.40.96.225,80,443,true,LHR,Europe,London,162,0.00
13.36.162.145,2052,80,false,CDG,Europe,Paris,162,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,162,0.00
13.36.162.145,2082,80,false,CDG,Europe,Paris,162,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,162,0.00
13.36.63.124,2082,80,false,CDG,Europe,Paris,163,0.00
13.36.63.124,2087,80,false,CDG,Europe,Paris,163,0.00
13.40.220.165,8080,443,true,LHR,Europe,London,163,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,165,0.00
13.36.63.124,2053,80,false,CDG,Europe,Paris,169,0.00
99.80.238.19,2096,80,false,DUB,Europe,Dublin,169,0.00
99.80.238.19,2087,80,false,DUB,Europe,Dublin,171,0.00
13.36.162.145,2096,80,false,CDG,Europe,Paris,171,0.00
99.80.238.19,2082,80,false,DUB,Europe,Dublin,172,0.00
99.80.238.19,2053,80,false,DUB,Europe,Dublin,172,0.00
99.80.238.19,2095,80,false,DUB,Europe,Dublin,173,0.00
99.80.238.19,2052,80,false,DUB,Europe,Dublin,173,0.00
13.36.162.145,2086,80,false,CDG,Europe,Paris,173,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,174,0.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,174,0.00
13.38.53.164,8443,443,true,CDG,Europe,Paris,174,0.00
18.198.227.161,80,80,false,FRA,Europe,Frankfurt,174,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,175,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,178,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,178,0.00
13.36.24.111,2052,80,false,CDG,Europe,Paris,182,0.00
13.36.24.111,2095,80,false,CDG,Europe,Paris,182,0.00
13.36.253.240,2053,80,false,CDG,Europe,Paris,184,0.00
13.36.162.145,2053,80,false,CDG,Europe,Paris,184,0.00
13.37.224.156,8443,443,true,CDG,Europe,Paris,186,0.00
13.36.253.240,2052,80,false,CDG,Europe,Paris,186,0.00
13.36.253.240,2087,80,false,CDG,Europe,Paris,186,0.00
